Country Code,type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABW,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
AFE,per1000,299.009742941815,303.914515708568,287.988407704331,281.259825620932,268.656520250967,248.515302494595,235.366900405087,220.376873012261,203.738864902379,202.317291868265,197.354800618434,188.11743862973,187.481512710056,187.082245001537,179.32415226028,175.098446362397,171.800206390051,179.355131489371,167.393969346031,164.543006669522,174.734128296711
AFG,per1000,81.969555854203,78.8320663877295,79.3857861091234,68.091558791181,37.6164657152186,27.0790717573125,20.5260746512922,21.6677689818093,18.8551796838831,12.5636679307351,12.9804734366701,15.607241259574,9.1864106585728,11.2421445216647,12.4070902768194,13.8818586667814,26.8833319382108,28.554148300954,22.1097720341154,14.1008937568521,8.43681364532416
AFW,per1000,419.515166146586,412.481920245633,397.836394653217,392.610159746848,391.438641242434,388.126433115752,383.874581790904,381.467134980101,381.284400785289,374.598509929886,363.957941484247,351.101919900337,334.347493766126,316.433155883814,303.130827384716,295.045833106768,288.602116538162,285.116545182401,282.69317215718,276.652387211528,285.898496506251
AGO,per1000,325.703607159462,326.65069530991,309.120942259612,313.730994443775,313.732578361456,316.022133619683,301.362959279461,274.332707018678,233.453999689154,196.812688838526,172.71905884537,157.172760775305,154.216328111542,160.698354452946,166.779669623079,176.683541107961,189.452176827223,208.948763026604,214.247213069016,227.253732950003,251.582321424507
ALB,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
AND,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ARB,per1000,29.6058604359368,29.4077223041129,26.5167451041532,24.6235713088765,22.0086654603862,22.8953902247937,22.5027448558423,18.5752239635524,13.4995352187911,11.7521692269896,13.7816944962114,11.8041284375168,11.4584603443533,11.4386539812171,12.112728290899,13.0853821859786,15.7710701425901,15.8909478128508,16.841654342318,17.5548901417737,18.8536034473281
ARE,per1000,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0
ARG,per1000,2.38672546690317,1.15356962731653,0.66345378115579,0.651127132572635,0.602725775359947,1.18788053315781,0.875545306924443,1.65305083635301,0.523952095808383,0.454516261307327,0.264087090053698,0,0,0,0,0,0,0,0,0,0
ARM,per1000,0.0459343685832375,0.0258958149085157,0.0171392258870868,0.00960920999702446,0.0156629336674759,0.00234799893467934,null,0,0,null,0,null,0,null,0,0,0,0,0,0,null
ASM,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ATG,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
AUS,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
AUT,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
AZE,per1000,8.16815916669789,5.59041461357718,2.65270102746202,2.49594409085236,1.98636305158883,1.23225451656924,0.710352506133718,0.538231908181623,0.354851110388266,0.380005846243788,0.240678520886082,0.0190146603030937,0.0140787565642202,0,0,0,0,0,0,0,null
BDI,per1000,477.770752849525,468.937771643936,430.575804304161,383.650344810318,331.54549105345,292.635960209411,261.97887708091,223.522829285243,197.282486170494,174.82784789717,169.315204033009,164.904448402986,164.608621768221,170.304147604552,176.216980768873,194.272873496289,228.899460545488,250.057310374702,288.443103361416,297.135694076714,294.868688608427
BEL,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
BEN,per1000,423.342682858269,432.801712881999,448.662307755572,460.236982478423,479.133491948326,486.095038938401,485.586461938837,482.004047409811,467.39435765441,442.717502506788,416.378110659843,387.120092752971,365.441995861142,359.516638056477,364.245906832993,386.135464556321,418.494285173976,422.178249823359,409.784645845659,401.299839312284,388.306946731382
BFA,per1000,603.211023202975,601.937747711537,595.852046071059,585.123271936013,562.411285579394,533.845082694857,518.073712723096,526.309552134647,555.743487369573,571.970870276383,571.289167445413,557.088008486552,534.152519073393,487.199076003449,448.078699290215,423.616954829146,382.631506970533,369.670231742057,369.207986890695,366.081481757418,389.924010961343
BGD,per1000,6.87926393507709,6.87925270855831,6.87921856423786,6.87926340433192,6.87922343769592,6.87924078994885,4.52305521461299,8.27475603266722,7.80065766472632,5.13679816805398,4.36750458620435,3.95181959886215,2.17857946765064,1.92336316431411,3.98874431892525,2.70666324331318,1.86145151775614,1.94112471087107,0.714407637528801,1.20930709019451,0.426053297488764
BGR,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
BHR,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
BHS,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
BIH,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
BLR,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
